Gene: group_10061, Count of 1s: 9, Samples with 1s: ['ERR4034211', 'ERR4034218', 'ERR4034964', 'ERR4035377', 'ERR4035765', 'ERR4035970', 'ERR4036038', 'ERR4036930', 'ERR4036936']
Gene: group_10567, Count of 1s: 9, Samples with 1s: ['ERR4034367', 'ERR4034762', 'ERR4035408', 'ERR4035712', 'ERR4036280', 'ERR4036614', 'ERR4036900', 'ERR4037378', 'ERR4037442']
Gene: group_10586, Count of 1s: 9, Samples with 1s: ['ERR4034137', 'ERR4034254', 'ERR4034506', 'ERR4034670', 'ERR4035152', 'ERR4035817', 'ERR4036204', 'ERR4037405', 'ERR4037423']
Gene: group_10595, Count of 1s: 9, Samples with 1s: ['ERR4034376', 'ERR4034563', 'ERR4034629', 'ERR4034825', 'ERR4036045', 'ERR4036380', 'ERR4037260', 'ERR4037423', 'ERR4037450']
Gene: group_10607, Count of 1s: 9, Samples with 1s: ['ERR4034687', 'ERR4034825', 'ERR4035229', 'ERR4035640', 'ERR4035808', 'ERR4036107', 'ERR4036499', 'ERR4036879', 'ERR4037222']
Gene: group_10646, Count of 1s: 9, Samples with 1s: ['ERR4035408', 'ERR4036391', 'ERR4036936', 'ERR4037107', 'ERR4037146', 'ERR4037260', 'ERR4037378', 'ERR4037406', 'ERR4037442']
Gene: group_10648, Count of 1s: 9, Samples with 1s: ['ERR4034601', 'ERR4034864', 'ERR4035159', 'ERR4035236', 'ERR4035827', 'ERR4036380', 'ERR4036764', 'ERR4037260', 'ERR4037393']
Gene: group_10664, Count of 1s: 9, Samples with 1s: ['ERR4034303', 'ERR4034743', 'ERR4035268', 'ERR4035826', 'ERR4035970', 'ERR4036483', 'ERR4036499', 'ERR4036930', 'ERR4037009']
Gene: group_10697, Count of 1s: 9, Samples with 1s: ['ERR4034884', 'ERR4034979', 'ERR4035318', 'ERR4035970', 'ERR4036199', 'ERR4036501', 'ERR4036769', 'ERR4036930', 'ERR4037009']
Gene: group_1072, Count of 1s: 9, Samples with 1s: ['ERR4034313', 'ERR4034672', 'ERR4035817', 'ERR4035919', 'ERR4035969', 'ERR4036397', 'ERR4036955', 'ERR4037405', 'ERR4037406']
Gene: group_1080, Count of 1s: 9, Samples with 1s: ['ERR4034814', 'ERR4035900', 'ERR4035939', 'ERR4035952', 'ERR4036045', 'ERR4036140', 'ERR4036144', 'ERR4036501', 'ERR4037009']
Gene: group_10809, Count of 1s: 9, Samples with 1s: ['ERR4034234', 'ERR4034964', 'ERR4035377', 'ERR4035683', 'ERR4035817', 'ERR4036245', 'ERR4036811', 'ERR4037218', 'ERR4037259']
Gene: group_10866, Count of 1s: 9, Samples with 1s: ['ERR4034714', 'ERR4034786', 'ERR4034938', 'ERR4034944', 'ERR4035976', 'ERR4036154', 'ERR4036383', 'ERR4036745', 'ERR4037116']
Gene: group_10901, Count of 1s: 9, Samples with 1s: ['ERR4034254', 'ERR4034506', 'ERR4035318', 'ERR4035568', 'ERR4036038', 'ERR4036182', 'ERR4036936', 'ERR4037406', 'ERR4037423']
Gene: group_10927, Count of 1s: 9, Samples with 1s: ['ERR4035212', 'ERR4035328', 'ERR4035421', 'ERR4035564', 'ERR4035976', 'ERR4036154', 'ERR4036654', 'ERR4036745', 'ERR4037396']
Gene: group_10941, Count of 1s: 9, Samples with 1s: ['ERR4034154', 'ERR4034164', 'ERR4034211', 'ERR4034218', 'ERR4034631', 'ERR4034955', 'ERR4036038', 'ERR4036489', 'ERR4036936']
Gene: group_10950, Count of 1s: 9, Samples with 1s: ['ERR4034376', 'ERR4034563', 'ERR4034629', 'ERR4034864', 'ERR4034884', 'ERR4034979', 'ERR4035328', 'ERR4036171', 'ERR4036380']
Gene: group_10961, Count of 1s: 9, Samples with 1s: ['ERR4035320', 'ERR4035431', 'ERR4035568', 'ERR4036280', 'ERR4036380', 'ERR4036397', 'ERR4036483', 'ERR4037046', 'ERR4037448']
Gene: group_11038, Count of 1s: 9, Samples with 1s: ['ERR4034254', 'ERR4034506', 'ERR4034672', 'ERR4036397', 'ERR4036955', 'ERR4037405', 'ERR4037406', 'ERR4037423', 'ERR4037448']
Gene: dgaF, Count of 1s: 9, Samples with 1s: ['ERR4034462', 'ERR4034506', 'ERR4034672', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4036380', 'ERR4037404', 'ERR4037448']
Gene: group_11082, Count of 1s: 9, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035268', 'ERR4035328', 'ERR4035765', 'ERR4036171', 'ERR4036380', 'ERR4036501']
Gene: group_11123, Count of 1s: 9, Samples with 1s: ['ERR4034254', 'ERR4034313', 'ERR4034672', 'ERR4035817', 'ERR4035969', 'ERR4036397', 'ERR4036955', 'ERR4037382', 'ERR4037405']
Gene: virB, Count of 1s: 9, Samples with 1s: ['ERR4034601', 'ERR4035159', 'ERR4035236', 'ERR4035431', 'ERR4035827', 'ERR4036764', 'ERR4037260', 'ERR4037393', 'ERR4037404']
Gene: group_11148, Count of 1s: 9, Samples with 1s: ['ERR4034475', 'ERR4034814', 'ERR4034915', 'ERR4035318', 'ERR4035561', 'ERR4035712', 'ERR4035919', 'ERR4036380', 'ERR4037202']
Gene: group_11198, Count of 1s: 9, Samples with 1s: ['ERR4034313', 'ERR4034506', 'ERR4034672', 'ERR4036397', 'ERR4036955', 'ERR4037382', 'ERR4037405', 'ERR4037406', 'ERR4037448']
Gene: group_11207, Count of 1s: 9, Samples with 1s: ['ERR4034211', 'ERR4034218', 'ERR4034234', 'ERR4034964', 'ERR4035152', 'ERR4035377', 'ERR4035568', 'ERR4036038', 'ERR4036936']
Gene: group_11215, Count of 1s: 9, Samples with 1s: ['ERR4034714', 'ERR4034786', 'ERR4034938', 'ERR4034944', 'ERR4035598', 'ERR4036154', 'ERR4036501', 'ERR4036745', 'ERR4037116']
Gene: group_11273, Count of 1s: 9, Samples with 1s: ['ERR4034367', 'ERR4034699', 'ERR4035808', 'ERR4035900', 'ERR4035970', 'ERR4036483', 'ERR4036499', 'ERR4037150', 'ERR4037448']
Gene: group_1131, Count of 1s: 9, Samples with 1s: ['ERR4034064', 'ERR4034091', 'ERR4034714', 'ERR4035159', 'ERR4035208', 'ERR4036483', 'ERR4037146', 'ERR4037300', 'ERR4037362']
Gene: group_11376, Count of 1s: 9, Samples with 1s: ['ERR4034475', 'ERR4034691', 'ERR4034800', 'ERR4034938', 'ERR4035135', 'ERR4035229', 'ERR4035377', 'ERR4035406', 'ERR4036745']
Gene: group_11396, Count of 1s: 9, Samples with 1s: ['ERR4034162', 'ERR4034376', 'ERR4034538', 'ERR4034670', 'ERR4034814', 'ERR4035952', 'ERR4036140', 'ERR4036900', 'ERR4037260']
Gene: group_11498, Count of 1s: 9, Samples with 1s: ['ERR4034162', 'ERR4034376', 'ERR4034538', 'ERR4034670', 'ERR4034814', 'ERR4035952', 'ERR4036140', 'ERR4036900', 'ERR4037260']
Gene: group_11570, Count of 1s: 9, Samples with 1s: ['ERR4034111', 'ERR4034691', 'ERR4034884', 'ERR4034979', 'ERR4035320', 'ERR4035919', 'ERR4036199', 'ERR4036769', 'ERR4036794']
Gene: group_1162, Count of 1s: 9, Samples with 1s: ['ERR4034231', 'ERR4034301', 'ERR4035135', 'ERR4035406', 'ERR4036131', 'ERR4036423', 'ERR4036745', 'ERR4037393', 'ERR4037404']
Gene: group_1169, Count of 1s: 9, Samples with 1s: ['ERR4034825', 'ERR4035268', 'ERR4035421', 'ERR4035561', 'ERR4036171', 'ERR4036380', 'ERR4036955', 'ERR4037099', 'ERR4037423']
Gene: group_11722, Count of 1s: 9, Samples with 1s: ['ERR4034111', 'ERR4034164', 'ERR4034942', 'ERR4035328', 'ERR4035765', 'ERR4036140', 'ERR4036391', 'ERR4036664', 'ERR4037450']
Gene: group_11764, Count of 1s: 9, Samples with 1s: ['ERR4034254', 'ERR4034313', 'ERR4034506', 'ERR4034672', 'ERR4036397', 'ERR4036955', 'ERR4037382', 'ERR4037405', 'ERR4037448']
Gene: group_11771, Count of 1s: 9, Samples with 1s: ['ERR4034231', 'ERR4034301', 'ERR4035135', 'ERR4035406', 'ERR4036131', 'ERR4036423', 'ERR4036745', 'ERR4037393', 'ERR4037404']
Gene: group_11816, Count of 1s: 9, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4034955', 'ERR4034971', 'ERR4035283', 'ERR4035328', 'ERR4036380', 'ERR4036900']
Gene: group_1185, Count of 1s: 9, Samples with 1s: ['ERR4034254', 'ERR4034506', 'ERR4035817', 'ERR4035969', 'ERR4036811', 'ERR4037218', 'ERR4037259', 'ERR4037423', 'ERR4037448']
Gene: group_11865, Count of 1s: 9, Samples with 1s: ['ERR4034376', 'ERR4034563', 'ERR4034629', 'ERR4034825', 'ERR4036045', 'ERR4036380', 'ERR4037260', 'ERR4037423', 'ERR4037450']
Gene: group_11902, Count of 1s: 9, Samples with 1s: ['ERR4035640', 'ERR4035808', 'ERR4036037', 'ERR4036107', 'ERR4036499', 'ERR4036879', 'ERR4036894', 'ERR4037222', 'ERR4037435']
Gene: group_11987, Count of 1s: 9, Samples with 1s: ['ERR4034367', 'ERR4034762', 'ERR4035406', 'ERR4036348', 'ERR4036391', 'ERR4036413', 'ERR4036745', 'ERR4037099', 'ERR4037378']
Gene: group_12013, Count of 1s: 9, Samples with 1s: ['ERR4034538', 'ERR4035406', 'ERR4036131', 'ERR4036280', 'ERR4036423', 'ERR4036483', 'ERR4036499', 'ERR4037393', 'ERR4037404']
Gene: group_12038, Count of 1s: 9, Samples with 1s: ['ERR4034234', 'ERR4034254', 'ERR4034313', 'ERR4036397', 'ERR4036811', 'ERR4037218', 'ERR4037259', 'ERR4037382', 'ERR4037448']
Gene: group_1204, Count of 1s: 9, Samples with 1s: ['ERR4034254', 'ERR4035683', 'ERR4035919', 'ERR4035969', 'ERR4037218', 'ERR4037259', 'ERR4037382', 'ERR4037423', 'ERR4037448']
Gene: group_12049, Count of 1s: 9, Samples with 1s: ['ERR4034064', 'ERR4034091', 'ERR4034714', 'ERR4035159', 'ERR4035208', 'ERR4035564', 'ERR4037146', 'ERR4037300', 'ERR4037362']
Gene: group_12079, Count of 1s: 9, Samples with 1s: ['ERR4034793', 'ERR4035236', 'ERR4035561', 'ERR4035690', 'ERR4036154', 'ERR4036930', 'ERR4037107', 'ERR4037202', 'ERR4037392']
Gene: group_12149, Count of 1s: 9, Samples with 1s: ['ERR4034164', 'ERR4034942', 'ERR4035328', 'ERR4035765', 'ERR4036169', 'ERR4036391', 'ERR4036535', 'ERR4036664', 'ERR4037450']
Gene: group_12205, Count of 1s: 9, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035970', 'ERR4036175', 'ERR4036499', 'ERR4036777', 'ERR4036930']
Gene: group_12212, Count of 1s: 9, Samples with 1s: ['ERR4034254', 'ERR4034506', 'ERR4034672', 'ERR4035919', 'ERR4035969', 'ERR4036955', 'ERR4037382', 'ERR4037405', 'ERR4037406']
Gene: group_12215, Count of 1s: 9, Samples with 1s: ['ERR4034672', 'ERR4035817', 'ERR4035919', 'ERR4036397', 'ERR4036955', 'ERR4037382', 'ERR4037405', 'ERR4037423', 'ERR4037448']
Gene: group_12323, Count of 1s: 9, Samples with 1s: ['ERR4034394', 'ERR4034762', 'ERR4034815', 'ERR4034870', 'ERR4035421', 'ERR4035454', 'ERR4035669', 'ERR4036654', 'ERR4037391']
Gene: group_12344, Count of 1s: 9, Samples with 1s: ['ERR4035919', 'ERR4035969', 'ERR4036245', 'ERR4036811', 'ERR4037218', 'ERR4037259', 'ERR4037406', 'ERR4037423', 'ERR4037448']
Gene: group_12350, Count of 1s: 9, Samples with 1s: ['ERR4034303', 'ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035765', 'ERR4036380', 'ERR4036483', 'ERR4036501']
Gene: group_12378, Count of 1s: 9, Samples with 1s: ['ERR4034111', 'ERR4034942', 'ERR4035431', 'ERR4036140', 'ERR4036383', 'ERR4036391', 'ERR4036535', 'ERR4036745', 'ERR4037392']
Gene: group_12384, Count of 1s: 9, Samples with 1s: ['ERR4034234', 'ERR4034254', 'ERR4035454', 'ERR4036380', 'ERR4036397', 'ERR4036614', 'ERR4036794', 'ERR4036936', 'ERR4037260']
Gene: group_12393, Count of 1s: 9, Samples with 1s: ['ERR4034915', 'ERR4035268', 'ERR4035900', 'ERR4036154', 'ERR4036764', 'ERR4037202', 'ERR4037222', 'ERR4037260', 'ERR4037450']
Gene: group_12407, Count of 1s: 9, Samples with 1s: ['ERR4034234', 'ERR4034313', 'ERR4034672', 'ERR4035817', 'ERR4035919', 'ERR4036397', 'ERR4036811', 'ERR4036955', 'ERR4037405']
Gene: group_12479, Count of 1s: 9, Samples with 1s: ['ERR4034462', 'ERR4034506', 'ERR4034672', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4036380', 'ERR4037404', 'ERR4037448']
Gene: group_12508, Count of 1s: 9, Samples with 1s: ['ERR4034254', 'ERR4034601', 'ERR4034814', 'ERR4035765', 'ERR4035827', 'ERR4035952', 'ERR4036140', 'ERR4036876', 'ERR4037405']
Gene: group_12558, Count of 1s: 9, Samples with 1s: ['ERR4034376', 'ERR4034563', 'ERR4034629', 'ERR4034825', 'ERR4036045', 'ERR4036380', 'ERR4037260', 'ERR4037423', 'ERR4037450']
Gene: group_12611, Count of 1s: 9, Samples with 1s: ['ERR4034394', 'ERR4034506', 'ERR4034699', 'ERR4034825', 'ERR4035229', 'ERR4035377', 'ERR4035669', 'ERR4036169', 'ERR4036186']
Gene: group_12616, Count of 1s: 9, Samples with 1s: ['ERR4034394', 'ERR4034667', 'ERR4034815', 'ERR4035421', 'ERR4035431', 'ERR4035454', 'ERR4035669', 'ERR4036654', 'ERR4037391']
Gene: group_12643, Count of 1s: 9, Samples with 1s: ['ERR4034629', 'ERR4034915', 'ERR4035236', 'ERR4035561', 'ERR4035690', 'ERR4036154', 'ERR4036535', 'ERR4037202', 'ERR4037392']
Gene: group_12722, Count of 1s: 9, Samples with 1s: ['ERR4034814', 'ERR4035900', 'ERR4035939', 'ERR4035952', 'ERR4036045', 'ERR4036140', 'ERR4036144', 'ERR4036501', 'ERR4037009']
Gene: group_12851, Count of 1s: 9, Samples with 1s: ['ERR4034154', 'ERR4034467', 'ERR4034699', 'ERR4035283', 'ERR4035808', 'ERR4036163', 'ERR4036501', 'ERR4036535', 'ERR4037222']
Gene: group_12874, Count of 1s: 9, Samples with 1s: ['ERR4034231', 'ERR4034301', 'ERR4035135', 'ERR4035406', 'ERR4036131', 'ERR4036423', 'ERR4036745', 'ERR4037393', 'ERR4037404']
Gene: group_12878, Count of 1s: 9, Samples with 1s: ['ERR4034367', 'ERR4034691', 'ERR4034762', 'ERR4035238', 'ERR4035408', 'ERR4036280', 'ERR4036794', 'ERR4036900', 'ERR4037378']
Gene: group_12885, Count of 1s: 9, Samples with 1s: ['ERR4034367', 'ERR4034699', 'ERR4035808', 'ERR4035900', 'ERR4035970', 'ERR4036483', 'ERR4036499', 'ERR4037150', 'ERR4037448']
Gene: group_12961, Count of 1s: 9, Samples with 1s: ['ERR4034367', 'ERR4034691', 'ERR4034762', 'ERR4035408', 'ERR4036280', 'ERR4036794', 'ERR4036900', 'ERR4037378', 'ERR4037442']
Gene: group_12982, Count of 1s: 9, Samples with 1s: ['ERR4034672', 'ERR4034870', 'ERR4034980', 'ERR4035274', 'ERR4035540', 'ERR4035900', 'ERR4035955', 'ERR4035976', 'ERR4036169']
Gene: group_13026, Count of 1s: 9, Samples with 1s: ['ERR4034629', 'ERR4034827', 'ERR4034915', 'ERR4035976', 'ERR4036348', 'ERR4036383', 'ERR4036413', 'ERR4036777', 'ERR4036956']
Gene: group_13038, Count of 1s: 9, Samples with 1s: ['ERR4034506', 'ERR4034699', 'ERR4034884', 'ERR4034979', 'ERR4035152', 'ERR4037218', 'ERR4037222', 'ERR4037259', 'ERR4037382']
Gene: group_13055, Count of 1s: 9, Samples with 1s: ['ERR4034506', 'ERR4034519', 'ERR4034793', 'ERR4035268', 'ERR4035955', 'ERR4035970', 'ERR4036171', 'ERR4037107', 'ERR4037151']
Gene: group_13095, Count of 1s: 9, Samples with 1s: ['ERR4034234', 'ERR4034519', 'ERR4034825', 'ERR4034884', 'ERR4034979', 'ERR4035238', 'ERR4036178', 'ERR4036199', 'ERR4037435']
Gene: group_13141, Count of 1s: 9, Samples with 1s: ['ERR4034154', 'ERR4034164', 'ERR4034211', 'ERR4034218', 'ERR4034825', 'ERR4035152', 'ERR4035568', 'ERR4035970', 'ERR4036038']
Gene: group_13217, Count of 1s: 9, Samples with 1s: ['ERR4034231', 'ERR4034301', 'ERR4035135', 'ERR4035406', 'ERR4036131', 'ERR4036423', 'ERR4036745', 'ERR4037393', 'ERR4037404']
Gene: group_13282, Count of 1s: 9, Samples with 1s: ['ERR4034367', 'ERR4034699', 'ERR4035808', 'ERR4035900', 'ERR4035970', 'ERR4036483', 'ERR4036499', 'ERR4037150', 'ERR4037448']
Gene: group_13307, Count of 1s: 9, Samples with 1s: ['ERR4034394', 'ERR4034462', 'ERR4034659', 'ERR4034786', 'ERR4034814', 'ERR4035318', 'ERR4035328', 'ERR4036380', 'ERR4037202']
Gene: group_13358, Count of 1s: 9, Samples with 1s: ['ERR4035051', 'ERR4035135', 'ERR4035406', 'ERR4036131', 'ERR4036423', 'ERR4036745', 'ERR4037393', 'ERR4037404', 'ERR4037482']
Gene: group_1341, Count of 1s: 9, Samples with 1s: ['ERR4034538', 'ERR4035238', 'ERR4035976', 'ERR4036178', 'ERR4036348', 'ERR4036383', 'ERR4036413', 'ERR4036956', 'ERR4037260']
Gene: group_13463, Count of 1s: 9, Samples with 1s: ['ERR4034154', 'ERR4034467', 'ERR4034699', 'ERR4035283', 'ERR4035808', 'ERR4036163', 'ERR4036501', 'ERR4036535', 'ERR4037222']
Gene: group_13504, Count of 1s: 9, Samples with 1s: ['ERR4034154', 'ERR4034467', 'ERR4034699', 'ERR4035283', 'ERR4035808', 'ERR4036163', 'ERR4036501', 'ERR4036535', 'ERR4037222']
Gene: group_13509, Count of 1s: 9, Samples with 1s: ['ERR4034367', 'ERR4034762', 'ERR4035408', 'ERR4035712', 'ERR4036280', 'ERR4036614', 'ERR4036900', 'ERR4037378', 'ERR4037442']
Gene: pld, Count of 1s: 9, Samples with 1s: ['ERR4034234', 'ERR4034254', 'ERR4034530', 'ERR4034672', 'ERR4035454', 'ERR4036380', 'ERR4036397', 'ERR4036483', 'ERR4036614']
Gene: gatA_1, Count of 1s: 9, Samples with 1s: ['ERR4034691', 'ERR4034827', 'ERR4034942', 'ERR4035027', 'ERR4035051', 'ERR4035320', 'ERR4036045', 'ERR4036280', 'ERR4037482']
Gene: group_13715, Count of 1s: 9, Samples with 1s: ['ERR4034064', 'ERR4034091', 'ERR4034629', 'ERR4034915', 'ERR4035159', 'ERR4037107', 'ERR4037146', 'ERR4037300', 'ERR4037362']
Gene: group_13790, Count of 1s: 9, Samples with 1s: ['ERR4034854', 'ERR4034864', 'ERR4034944', 'ERR4034955', 'ERR4034971', 'ERR4035268', 'ERR4035283', 'ERR4035939', 'ERR4036171']
Gene: group_13981, Count of 1s: 9, Samples with 1s: ['ERR4034631', 'ERR4034955', 'ERR4034964', 'ERR4035377', 'ERR4036175', 'ERR4036288', 'ERR4036489', 'ERR4036499', 'ERR4036771']
Gene: group_14018, Count of 1s: 9, Samples with 1s: ['ERR4034691', 'ERR4035051', 'ERR4035135', 'ERR4035406', 'ERR4035408', 'ERR4036154', 'ERR4036745', 'ERR4036794', 'ERR4036900']
Gene: group_14036, Count of 1s: 9, Samples with 1s: ['ERR4034231', 'ERR4034301', 'ERR4035135', 'ERR4035406', 'ERR4036131', 'ERR4036423', 'ERR4036745', 'ERR4037393', 'ERR4037404']
Gene: group_14060, Count of 1s: 9, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034884', 'ERR4034979', 'ERR4035328', 'ERR4035765', 'ERR4036199', 'ERR4036380', 'ERR4036769']
Gene: group_14061, Count of 1s: 9, Samples with 1s: ['ERR4034064', 'ERR4034467', 'ERR4034601', 'ERR4034629', 'ERR4034670', 'ERR4034786', 'ERR4034825', 'ERR4034864', 'ERR4035826']
Gene: group_1407, Count of 1s: 9, Samples with 1s: ['ERR4034714', 'ERR4035208', 'ERR4035238', 'ERR4035564', 'ERR4035970', 'ERR4036178', 'ERR4036769', 'ERR4036930', 'ERR4037150']
Gene: group_14149, Count of 1s: 9, Samples with 1s: ['ERR4036501', 'ERR4036664', 'ERR4036769', 'ERR4036879', 'ERR4036894', 'ERR4036930', 'ERR4037009', 'ERR4037222', 'ERR4037435']
Gene: group_14193, Count of 1s: 9, Samples with 1s: ['ERR4034313', 'ERR4034394', 'ERR4035568', 'ERR4035919', 'ERR4036856', 'ERR4036936', 'ERR4036985', 'ERR4037259', 'ERR4037396']
Gene: group_14219, Count of 1s: 9, Samples with 1s: ['ERR4034367', 'ERR4034699', 'ERR4035808', 'ERR4035900', 'ERR4035970', 'ERR4036483', 'ERR4036499', 'ERR4037150', 'ERR4037448']
Gene: group_14244, Count of 1s: 9, Samples with 1s: ['ERR4034376', 'ERR4034563', 'ERR4034629', 'ERR4034864', 'ERR4034884', 'ERR4034979', 'ERR4035328', 'ERR4036171', 'ERR4036380']
Gene: group_14262, Count of 1s: 9, Samples with 1s: ['ERR4034376', 'ERR4034563', 'ERR4034629', 'ERR4034825', 'ERR4036045', 'ERR4036380', 'ERR4037260', 'ERR4037423', 'ERR4037450']
Gene: group_14263, Count of 1s: 9, Samples with 1s: ['ERR4035568', 'ERR4036182', 'ERR4036380', 'ERR4036483', 'ERR4036499', 'ERR4036501', 'ERR4036930', 'ERR4036936', 'ERR4037009']
Gene: group_14270, Count of 1s: 9, Samples with 1s: ['ERR4036664', 'ERR4036811', 'ERR4036955', 'ERR4037218', 'ERR4037259', 'ERR4037382', 'ERR4037405', 'ERR4037406', 'ERR4037423']
Gene: group_14354, Count of 1s: 9, Samples with 1s: ['ERR4034854', 'ERR4034979', 'ERR4035564', 'ERR4036037', 'ERR4036245', 'ERR4036955', 'ERR4037382', 'ERR4037405', 'ERR4037423']
Gene: group_14366, Count of 1s: 9, Samples with 1s: ['ERR4034394', 'ERR4034815', 'ERR4035421', 'ERR4035431', 'ERR4035454', 'ERR4035669', 'ERR4036182', 'ERR4036654', 'ERR4037391']
Gene: group_1438, Count of 1s: 9, Samples with 1s: ['ERR4034367', 'ERR4034699', 'ERR4035808', 'ERR4035900', 'ERR4035970', 'ERR4036483', 'ERR4036499', 'ERR4037150', 'ERR4037448']
Gene: group_14454, Count of 1s: 9, Samples with 1s: ['ERR4034367', 'ERR4034699', 'ERR4035808', 'ERR4035900', 'ERR4035970', 'ERR4036483', 'ERR4036499', 'ERR4037150', 'ERR4037448']
Gene: group_14587, Count of 1s: 9, Samples with 1s: ['ERR4035826', 'ERR4035939', 'ERR4036045', 'ERR4036245', 'ERR4036499', 'ERR4037009', 'ERR4037218', 'ERR4037259', 'ERR4037396']
Gene: group_14612, Count of 1s: 9, Samples with 1s: ['ERR4034234', 'ERR4034254', 'ERR4034506', 'ERR4035919', 'ERR4036811', 'ERR4037382', 'ERR4037406', 'ERR4037423', 'ERR4037448']
Gene: group_14614, Count of 1s: 9, Samples with 1s: ['ERR4034367', 'ERR4034699', 'ERR4035808', 'ERR4035900', 'ERR4035970', 'ERR4036483', 'ERR4036499', 'ERR4037150', 'ERR4037448']
Gene: group_14764, Count of 1s: 9, Samples with 1s: ['ERR4034154', 'ERR4034467', 'ERR4034699', 'ERR4035283', 'ERR4036163', 'ERR4036501', 'ERR4036535', 'ERR4036900', 'ERR4037222']
Gene: group_14779, Count of 1s: 9, Samples with 1s: ['ERR4034519', 'ERR4034687', 'ERR4035229', 'ERR4035640', 'ERR4036107', 'ERR4036499', 'ERR4036879', 'ERR4036894', 'ERR4037222']
Gene: hxlB_1, Count of 1s: 9, Samples with 1s: ['ERR4034691', 'ERR4034827', 'ERR4034942', 'ERR4035027', 'ERR4035051', 'ERR4035320', 'ERR4036045', 'ERR4036280', 'ERR4037482']
